country,city,income_id,advanced_thermal_treatment,anaerobic_digestion,compost,controlled_landfill,incineration,landfill_unspecified,open_dump,other,recycling,sanitary_landfill_landfill_gas_system,unaccounted_for,waterways_marine
Nicaragua,Puerto Cabezas,LMC,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
Nicaragua,Managua,LMC,NA,NA,NA,NA,NA,87.61,NA,NA,8.95,NA,3.44,NA
Netherlands,Amsterdam,HIC,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,86,NA
Netherlands,Eindhoven,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Bergen,HIC,NA,NA,NA,NA,39.1,14.5,NA,NA,46.4,NA,NA,NA
Norway,Oslo,HIC,NA,NA,NA,NA,57.85,NA,NA,1.547,37.197,3.4,0.006,NA
Nepal,Butwal,LIC,NA,NA,NA,NA,NA,NA,NA,62.7,NA,NA,37.3,NA
Nepal,Pokhara,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,57.3,NA
Nepal,Dhankuta,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,18.9,NA
Nepal,Birgunj,LIC,NA,NA,NA,NA,NA,NA,19.65,19.65,NA,NA,60.7,NA
Nepal,Kathmandu,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,13.1,NA
Nepal,Lalitpur,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,28.8,NA
Nepal,Badimalika,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Nepal,Bharatpur,LIC,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,74.6,NA
Nepal,Dharan,LIC,NA,NA,NA,NA,NA,NA,NA,68.7,NA,NA,31.3,NA
Nepal,Bhimeshwor,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,Biratnagar,LIC,NA,NA,NA,NA,NA,NA,85.7,NA,NA,NA,14.3,NA
Nepal,Bhaktapur,LIC,NA,NA,NA,NA,NA,NA,86.5,NA,NA,NA,13.5,NA
New Zealand,Auckland,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA
New Zealand,Wellington,HIC,NA,NA,1,NA,NA,88,NA,NA,10,NA,1,NA
Oman,Muscat,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,Karachi,LMC,NA,NA,NA,60,NA,NA,NA,40,NA,NA,NA,NA
Pakistan,Lahore,LMC,NA,NA,NA,61.53,6.15,NA,NA,NA,NA,32.31,0.01,NA
Pakistan,Sialkot,LMC,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,75,NA
Panama,PanamÃ¡ City,HIC,NA,NA,NA,NA,NA,NA,NA,NA,2,65,33,NA
Panama,San Miguelito,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,2.5,NA
Panama,ColÃ³n,HIC,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,26,NA
Peru,Cusco,UMC,NA,NA,NA,NA,NA,NA,69.6,NA,0.3,NA,NA,30.1
Philippines,Cebu,LMC,NA,NA,NA,NA,NA,NA,60,NA,NA,40,NA,NA
Philippines,Quezon City,LMC,NA,NA,NA,61,NA,NA,NA,NA,42,NA,NA,NA
Palau,Koror,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,Port Moresby,LMC,NA,NA,NA,61.56,NA,NA,NA,36.73,1.7,NA,0.01,NA
Poland,Lodzi,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,KrakÃ³w,HIC,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,80.34,NA
Portugal,Lisbon,HIC,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,78.2,NA
Portugal,GuimarÃ£es,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,AsunciÃ³n,UMC,NA,NA,NA,NA,NA,NA,92.2,NA,NA,NA,7.8,NA
Paraguay,Ciudad Del Este,UMC,NA,NA,NA,48.8,NA,NA,NA,NA,NA,NA,51.2,NA
Paraguay,San Lorenzo,UMC,NA,NA,NA,NA,NA,NA,58.2,NA,NA,NA,41.8,NA
West Bank and Gaza,Ramallah,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,Doha,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Cluj-Napoca,UMC,NA,NA,NA,NA,NA,NA,NA,NA,13.72,NA,NA,NA
Romania,Bucharest,UMC,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA
Russian Federation,Moscow,UMC,NA,NA,NA,NA,NA,NA,90,6,4,NA,NA,NA
Russian Federation,St.petersburg,UMC,NA,NA,NA,NA,NA,80,NA,3,10,NA,7,NA
Russian Federation,Kemerovo,UMC,NA,NA,NA,NA,NA,NA,98.1,NA,1.9,NA,NA,NA
Rwanda,KigaliÂ ,LIC,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,75,NA
Rwanda,Nyagatare,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Jeddah,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Riyadh,HIC,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,15,NA
Senegal,Rufisque,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solomon Islands,Honiara,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,Freetown,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
El Salvador,San Salvador,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4,34.6,NA
Somalia,Hargeysa,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,Belgrade,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,Novi Sad,UMC,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,98,NA
South Sudan,Juba,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovak Republic,Trnava,HIC,NA,NA,NA,82.42,0.34,NA,0.56,6.9,9.79,NA,NA,NA
Slovak Republic,Bratislava,HIC,NA,NA,NA,32.01,41.02,NA,0.43,16.73,9.81,NA,NA,NA
Slovenia,Ljubljana,HIC,NA,NA,NA,NA,NA,39,NA,NA,61,NA,NA,NA
Sweden,BorÃ¥s,HIC,NA,NA,NA,1,55,NA,NA,15.5,29,NA,NA,NA
Sweden,Stockholm,HIC,NA,NA,NA,3,71.1,NA,NA,5,21,NA,NA,NA
Syrian Arab Republic,Damascus,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,Lome,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Bangkok,UMC,NA,NA,48.7,NA,NA,NA,NA,NA,11.85,39.45,NA,NA
Tajikistan,DushanbeÂ ,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,Khujand,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,Ashgabat,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timor-Leste,Dili,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,Tongatapu,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,Vavaâ€™u,UMC,NA,NA,1.5,27.4,NA,NA,NA,12.3,5.1,NA,53.7,NA
Tunisia,Tunis,LMC,NA,NA,NA,NA,NA,NA,4,NA,3,93,NA,NA
Tunisia,Sfax,LMC,NA,NA,NA,NA,NA,NA,NA,NA,2,98,NA,NA
Tunisia,Sousse,LMC,NA,NA,NA,63,NA,NA,NA,NA,6,NA,NA,NA
Turkey,Sakarya Mm,UMC,NA,NA,NA,NA,NA,NA,NA,NA,2.49,NA,97.51,NA
Turkey,Bursa Mm (Metropolitan Municipality),UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,Funafuti,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,Dar Es Salaam,LIC,NA,NA,NA,NA,NA,NA,NA,18,13,28,41,NA
Tanzania,Moshi,LIC,NA,NA,20,49,NA,NA,NA,NA,NA,NA,31,NA
Tanzania,Mountain Kilimanjaro,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,Kampala,LIC,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,Pavlograd,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,Kiev,LMC,NA,NA,NA,NA,23,70.6,NA,NA,6.4,NA,NA,NA
Uruguay,Montevideo,HIC,NA,NA,NA,71,NA,NA,NA,NA,29,NA,NA,NA
United States,Seattle,HIC,NA,NA,NA,41.95,NA,NA,NA,NA,58.04,NA,NA,NA
United States,Washington Dc,HIC,32,NA,1,56,NA,NA,NA,NA,11,NA,NA,NA
United States,Ann Arbor,HIC,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA
Uzbekistan,Namangan,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,Tashkent,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela, RB",Caracas,UMC,NA,NA,NA,NA,NA,NA,NA,NA,0.9,99.1,NA,NA
Vietnam,Hanoi,LMC,NA,NA,2,NA,5.4,10.91,NA,NA,8.2,63.64,10,NA
Vietnam,Ho Chi Minh City,LMC,NA,NA,15,NA,NA,NA,NA,NA,NA,85,NA,NA
Vanuatu,Port Vila,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,Upolu (Apia),UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,Gjilan,LMC,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA
Kosovo,Pristina,LMC,NA,NA,NA,80,NA,NA,10,NA,10,NA,NA,NA
"Yemen, Rep.",SanaÃ¡,LIC,NA,NA,NA,53,NA,NA,NA,NA,12,NA,30,5
South Africa,JohannesburgÂ ,UMC,NA,NA,5,NA,NA,95,NA,NA,NA,NA,NA,NA
South Africa,Cape Town,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,Soweto,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,BloemfonteinÂ ,UMC,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,67.7,NA
South Africa,Durban,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,NdolaÂ ,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,Lusaka,LMC,NA,NA,NA,26,NA,NA,NA,NA,6,NA,68,NA
Zimbabwe,Kadoma City,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,Mbare,LIC,NA,NA,10,51,NA,NA,24,15,NA,NA,NA,NA
Zimbabwe,Norton,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,Chinhoyi,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,HarareÂ ,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,Gweru,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,Kariba,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,Masvingo City,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,SakubvaÂ ,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
