country,city,income_id,advanced_thermal_treatment,anaerobic_digestion,compost,controlled_landfill,incineration,landfill_unspecified,open_dump,other,recycling,sanitary_landfill_landfill_gas_system,unaccounted_for,waterways_marine
Côte d’Ivoire,Abidjan,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,Limbe,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,Douala,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,Yaounde,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,Bafoussam,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.",Kinshasa,LIC,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,90,NA
"Congo, Rep.",Dolisie,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,BogotÃ¡,UMC,NA,NA,NA,NA,NA,NA,NA,NA,17,83,NA,NA
Colombia,Medellin,UMC,NA,NA,NA,NA,NA,NA,NA,NA,16,84,NA,NA
Colombia,Cali,UMC,NA,NA,NA,NA,NA,NA,NA,NA,15,85,NA,NA
Comoros,Moroni,LIC,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,60,NA
Costa Rica,San JosÃ©,UMC,NA,NA,NA,NA,NA,NA,NA,0.38,5.2,94.42,NA,NA
Costa Rica,Alajuela,UMC,NA,NA,NA,NA,NA,NA,NA,NA,0.42,100,NA,NA
Cuba,Havana,UMC,NA,NA,NA,97,NA,NA,NA,3,NA,NA,NA,NA
Cyprus,Paralimini,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,Nicosia,HIC,NA,NA,2.87,NA,NA,87.23,NA,NA,9.89,NA,0.01,NA
Czech Republic,Karlovy Vary,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czech Republic,Prague,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Hamburg,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Berlin,HIC,NA,NA,NA,1,65,NA,NA,6,28,NA,NA,NA
Djibouti,Djiibouti City,LMC,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA
Denmark,Copenhagen,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,Santo Domingo,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,28,NA
Algeria,Algiers,UMC,NA,NA,1,NA,NA,NA,NA,7,10,82,NA,NA
Algeria,Mostaganem,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,Quito,UMC,NA,NA,NA,NA,NA,NA,NA,NA,6,89,5,NA
"Egypt, Arab Rep.",Cairo,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Pamplona,HIC,NA,NA,NA,68,NA,NA,NA,NA,32,NA,NA,NA
Spain,Madrid,HIC,NA,10,5,29,10,NA,NA,36,10,NA,NA,NA
Estonia,Tallinn,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Tartummaa,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Adola Woyu,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Bule Hora,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Addis Ababa,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Maichew,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Tepi,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Gerbe Guracha,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Weldiya,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Debre Tabor,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Bati,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Dire Dawa,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Ethiopia,Halaba Kulito,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,Dembi Dolo,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Oulu,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,92.5,NA
Finland,Riihimaki,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Turku,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,Suva,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,Angers-Loire Metropole,HIC,NA,NA,22.85,NA,0.23,NA,NA,NA,17.66,53.95,5,NA
France,Paris,HIC,NA,NA,NA,NA,77.5,NA,NA,NA,17.1,5.4,NA,NA
"Micronesia, Fed. Sts.",Pohnpei,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,Libreville,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
United Kingdom,London,HIC,NA,NA,NA,NA,47,20,NA,4,30,NA,NA,NA
United Kingdom,Bristol,HIC,25.3,NA,NA,29.67,NA,NA,NA,NA,45.03,NA,NA,NA
Georgia,Tbilisi,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,Accra,LMC,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,NA
Ghana,Kumasi,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Conakry,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia, The",Banjul,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,Labe,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Athens,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Thessaloniki,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,Guatemala City,UMC,NA,NA,NA,NA,NA,NA,48,47,5,NA,NA,NA
Guatemala,Antigua Guatemala,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,Jutiapa,UMC,NA,NA,NA,NA,NA,NA,12.44,87.56,NA,NA,NA,NA
Honduras,Tegucigalpa,LMC,NA,NA,0,NA,NA,NA,5,2,3,89,1,NA
Honduras,San Pedro Sula,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,Zagreb,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,Cakovec,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,Port Au Prince,LIC,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,80,NA
Hungary,Debrecen,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,Budapest,HIC,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,48,NA
Indonesia,Jakarta,LMC,NA,NA,NA,NA,NA,69.5,NA,NA,7.5,NA,23,NA
Isle of Man,Douglas,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,Kota,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Kozhikode,LMC,NA,NA,25,NA,NA,NA,60,NA,NA,NA,15,NA
India,Jaipur,LMC,NA,NA,16.8,NA,NA,NA,60,23.6,NA,NA,NA,NA
